episode,reward,smoothed_reward
644,7.2704,7.2468
645,7.3059,7.2459
646,7.5413,7.2415
647,7.6914,7.242
648,7.117,7.2395
649,7.007,7.2323
650,2.8791,7.1878
651,7.4525,7.1886
652,7.4546,7.1872
653,8.2494,7.1882
654,6.325,7.1906
655,7.6245,7.1907
656,7.0609,7.185
657,7.3697,7.1775
658,6.4894,7.173
659,7.8881,7.1897
660,7.4442,7.1739
661,6.9369,7.1761
662,6.5464,7.1692
663,5.7675,7.1495
664,8.1232,7.17
665,6.8777,7.1579
666,6.8516,7.1626
667,6.7212,7.1672
668,7.0767,7.1688
669,7.3349,7.2447
670,6.7506,7.2601
671,6.7907,7.2507
672,8.0074,7.251
673,4.0397,7.2255
674,6.6247,7.2261
675,3.4939,7.1801
676,7.268,7.1809
677,7.5219,7.1788
678,7.0092,7.1798
679,7.3395,7.1883
680,8.1654,7.1986
681,6.0647,7.187
682,4.3735,7.1511
683,6.8017,7.15
684,-2.699,7.0476
685,6.2555,7.0398
686,2.3524,6.9862
687,7.9441,6.9907
688,7.6262,6.9891
689,7.1902,6.9803
690,-0.2678,6.912
691,6.9402,6.9098
692,6.1662,6.9102
693,6.7635,6.904
694,6.961,6.9047
695,7.3364,6.8918
696,5.3093,6.8629
697,-4.0818,6.7853
698,-0.743,6.7024
699,5.2073,6.6682
700,7.5308,6.6756
701,6.4383,6.6664
702,7.0856,6.6556
703,1.0044,6.5762
704,4.7627,6.5543
705,6.9883,6.5483
706,7.7559,6.5542
707,8.0781,6.5683
708,7.8699,6.581
709,5.6508,6.5511
710,3.9238,6.5151
711,8.1475,6.5195
712,7.8046,6.5304
713,5.492,6.5061
714,8.0133,6.5132
715,7.2584,6.5034
716,8.2887,6.5103
717,3.8633,6.4775
718,6.9631,6.4687
719,7.9488,6.4773
720,5.1803,6.4604
721,9.5515,6.478
722,5.5568,6.4575
723,5.8675,6.4499
724,6.1356,6.4405
725,7.1869,6.4439
726,7.6735,6.4538
727,6.1806,6.4361
728,8.1726,6.4529
729,6.7473,6.4499
730,8.2035,6.4496
731,6.7742,6.4366
732,9.0527,6.4476
733,6.3649,6.4335
734,8.1104,6.4484
735,6.7064,6.4332
736,7.9524,6.441
737,5.5991,6.4236
738,5.884,6.4173
739,6.4025,6.4109
740,5.3587,6.3909
741,6.8868,6.3822
742,7.254,6.3835
743,7.018,6.3761
744,5.2265,6.3556
745,6.9911,6.3525
746,7.5132,6.3522
747,5.6577,6.3319
748,6.4059,6.3247
749,7.7422,6.3321
750,7.7846,6.3812
751,7.8243,6.3849
752,7.2506,6.3828
753,7.3222,6.3736
754,7.6568,6.3869
755,7.4551,6.3852
756,8.2637,6.3972
757,7.1853,6.3954
758,7.3797,6.4043
759,7.8346,6.4037
760,7.2639,6.4019
761,6.0508,6.3931
762,7.3619,6.4012
763,6.3441,6.407
764,7.9309,6.4051
765,8.0308,6.4166
766,6.2679,6.4108
767,5.6031,6.3996
768,7.235,6.4012
769,7.0634,6.3985
770,7.0819,6.4018
771,7.6884,6.4107
772,6.5776,6.3964
773,7.4993,6.431
774,6.8814,6.4336
775,5.9593,6.4583
776,7.4688,6.4603
777,8.1328,6.4664
778,7.4592,6.4709
779,7.1986,6.4695
780,7.6288,6.4641
781,7.092,6.4744
782,7.416,6.5048
783,7.5015,6.5118
784,8.1282,6.6201
785,7.6495,6.634
786,7.9078,6.6896
787,8.2562,6.6927
788,6.68,6.6832
789,7.4207,6.6855
790,7.0147,6.7584
791,6.2811,6.7518
792,6.6026,6.7561
793,6.9523,6.758
794,7.4053,6.7625
795,7.757,6.7667
796,7.1158,6.7847
797,6.7437,6.893
798,7.3492,6.9739
799,6.7713,6.9895
800,6.9986,6.9842
801,7.411,6.994
802,7.5655,6.9988
803,7.5502,7.0642
804,5.5738,7.0723
805,7.236,7.0748
806,7.5068,7.0723
807,4.137,7.0329
808,7.8299,7.0325
809,6.5929,7.0419
810,7.1382,7.0741
811,8.0546,7.0731
812,7.6979,7.0721
813,7.0906,7.088
814,7.4986,7.0829
815,8.0567,7.0909
816,6.4387,7.0724
817,7.873,7.1125
818,7.2004,7.1149
819,8.0007,7.1154
820,7.4411,7.138
821,7.4662,7.1171
822,8.2863,7.1444
823,8.0561,7.1663
824,6.686,7.1718
825,6.3829,7.1638
826,8.1828,7.1689
827,7.5881,7.1829
828,7.4254,7.1755
829,7.4887,7.1829
830,6.7508,7.1684
831,7.3589,7.1742
832,7.7443,7.1611
833,8.5829,7.1833
834,7.4722,7.1769
835,7.4813,7.1847
836,7.473,7.1799
837,8.0961,7.2048
838,7.8382,7.2244
839,8.3808,7.2442
840,6.8557,7.2591
841,5.4973,7.2452
842,7.3606,7.2463
843,8.1154,7.2573
844,7.7192,7.2822
845,7.6733,7.289
846,8.3956,7.2979
847,8.2485,7.3238
848,7.7048,7.3368
849,8.0845,7.3402
850,7.9413,7.3417
851,7.2281,7.3358
852,7.3271,7.3365
853,6.912,7.3324
854,6.7397,7.3233
855,6.824,7.317
856,8.7152,7.3215
857,4.5035,7.2947
858,7.2558,7.2934
859,7.2484,7.2876
860,7.6775,7.2917
861,8.554,7.3167
862,8.2424,7.3255
863,7.6964,7.3391
864,8.3079,7.3428
865,7.4022,7.3365
866,7.7739,7.3516
867,7.8194,7.3738
868,7.6291,7.3777
869,7.3762,7.3808
870,7.3795,7.3838
871,6.9902,7.3768
872,7.9756,7.3908
873,7.4166,7.39
874,7.2677,7.3938
875,6.8254,7.4025
876,6.9768,7.3976
877,7.3833,7.3901
878,8.0223,7.3957
879,6.2794,7.3865
880,8.1313,7.3916
881,8.1604,7.4022
882,8.0508,7.4086
883,6.8701,7.4023
884,7.2865,7.3939
885,6.9951,7.3873
886,7.4441,7.3827
887,6.8986,7.3691
888,7.7079,7.3794
889,8.2395,7.3876
890,6.8686,7.3861
891,8.8861,7.4122
892,8.0346,7.4265
893,7.73,7.4342
894,7.9873,7.4401
895,7.5309,7.4378
896,7.0676,7.4373
897,8.4119,7.454
898,8.157,7.4621
899,6.5223,7.4596
900,8.06,7.4702
901,7.6909,7.473
902,6.6041,7.4634
903,8.821,7.4761
904,7.4831,7.4952
905,7.156,7.4944
906,9.0132,7.5095
907,7.8536,7.5466
908,7.8252,7.5466
909,6.8809,7.5495
910,8.1658,7.5597
911,7.5822,7.555
912,7.0727,7.5488
913,7.2964,7.5508
914,8.5601,7.5614
915,7.3168,7.554
916,6.7785,7.5574
917,6.1848,7.5405
918,7.2711,7.5413
919,7.5538,7.5368
920,8.4199,7.5466
921,7.6045,7.548
922,8.2037,7.5471
923,7.2205,7.5388
924,7.9185,7.5511
925,6.6548,7.5538
926,8.1567,7.5536
927,7.2723,7.5504
928,7.4405,7.5506
929,7.9725,7.5554
930,5.6545,7.5444
931,7.5611,7.5464
932,7.0524,7.5395
933,8.1692,7.5354
934,8.3098,7.5438
935,5.8732,7.5277
936,6.1204,7.5142
937,6.8987,7.5022
938,8.0061,7.5039
939,7.1745,7.4918
940,8.0003,7.5032
941,7.9055,7.5273
942,7.3647,7.5274
943,7.3598,7.5198
944,8.0625,7.5232
945,7.6871,7.5234
946,6.8683,7.5081
947,7.7573,7.5032
948,7.1317,7.4975
949,7.2383,7.489
950,8.0288,7.4899
951,6.3227,7.4808
952,7.8654,7.4862
953,7.85,7.4956
954,7.2928,7.5011
955,6.874,7.5016
956,7.9447,7.4939
957,8.0031,7.5289
958,7.6845,7.5332
959,8.0968,7.5417
960,8.2751,7.5477
961,7.922,7.5413
962,7.2786,7.5317
963,6.5376,7.5201
964,7.6774,7.5138
965,8.4918,7.5247
966,7.9983,7.5269
967,7.6604,7.5254
968,7.8883,7.5279
969,7.8395,7.5326
970,8.3172,7.542
971,4.4093,7.5161
972,7.2416,7.5088
973,8.3051,7.5177
974,7.6336,7.5214
975,7.6691,7.5298
976,7.1673,7.5317
977,6.9864,7.5277
978,8.1036,7.5285
979,8.2129,7.5479
980,7.6442,7.543
981,8.1092,7.5425
982,7.102,7.533
983,8.5927,7.5502
984,7.9156,7.5565
985,7.4956,7.5615
986,7.5808,7.5629
987,7.4663,7.5686
988,8.0915,7.5724
989,8.0447,7.5705
990,6.285,7.5646
991,7.7794,7.5536
992,8.4361,7.5576
993,8.1862,7.5621
994,7.0379,7.5526
995,7.9033,7.5564
996,7.8927,7.5646
997,7.8837,7.5593
998,8.9181,7.5669
999,7.5931,7.5777
1000,7.032,7.5674
1001,8.2899,7.5734
1002,7.7013,7.5843
1003,7.6162,7.5723
1004,8.267,7.5801
1005,7.3433,7.582
1006,8.1541,7.5734
1007,6.3924,7.5588
1008,8.529,7.5658
1009,7.2816,7.5698
1010,5.7233,7.5454
1011,7.1549,7.5411
1012,7.4199,7.5446
1013,7.9727,7.5514
1014,8.2071,7.5479
1015,7.369,7.5484
1016,7.979,7.5604
1017,8.5071,7.5836
1018,8.1106,7.592
1019,8.0426,7.5969
1020,7.7342,7.59
1021,8.4356,7.5983
1022,7.5729,7.592
1023,7.821,7.598
1024,7.5031,7.5939
1025,8.1841,7.6092
1026,7.6518,7.6041
1027,8.0581,7.612
1028,6.4409,7.602
1029,7.8009,7.6003
1030,7.9981,7.6237
1031,6.8681,7.6168
1032,7.8615,7.6249
1033,8.6657,7.6298
1034,7.3913,7.6206
1035,7.5011,7.6369
1036,7.843,7.6541
1037,8.5844,7.671
1038,7.6679,7.6676
1039,8.3488,7.6794
1040,8.4426,7.6838
1041,7.4521,7.6793
1042,8.3265,7.6889
1043,6.1066,7.6763
1044,8.1728,7.6774
1045,6.7271,7.6678
1046,7.7263,7.6764
1047,7.9409,7.6783
1048,8.4578,7.6915
1049,8.1725,7.7009
1050,7.5465,7.696
1051,7.5876,7.7087
1052,7.979,7.7098
1053,6.7786,7.6991
1054,7.9491,7.7057
1055,7.8962,7.7159
1056,7.4119,7.7106
1057,7.9418,7.71
1058,7.8725,7.7118
1059,8.1852,7.7127
1060,6.6053,7.696
1061,7.7878,7.6947
1062,7.2524,7.6944
1063,8.2978,7.712
1064,7.8476,7.7137
1065,9.1867,7.7207
1066,7.4173,7.7149
1067,7.5035,7.7133
1068,8.627,7.7207
1069,7.8376,7.7207
1070,6.9459,7.707
1071,9.1685,7.7545
1072,8.0526,7.7627
1073,7.7022,7.7566
1074,8.1414,7.7617
1075,7.3605,7.7586
1076,7.5896,7.7628
1077,8.4395,7.7774
1078,8.9307,7.7856
1079,8.1916,7.7854
1080,6.8061,7.777
1081,7.2787,7.7687
1082,7.604,7.7738
1083,7.3945,7.7618
1084,6.791,7.7505
1085,6.5521,7.7411
1086,7.9245,7.7445
1087,7.0642,7.7405
1088,8.7804,7.7474
1089,7.522,7.7422
1090,5.637,7.7357
1091,7.4576,7.7325
1092,6.9996,7.7181
1093,8.1371,7.7176
1094,7.5559,7.7228
1095,7.1167,7.7149
1096,7.9319,7.7153
1097,8.1073,7.7176
1098,7.8602,7.707
1099,7.3426,7.7045
1100,8.1186,7.7153
1101,8.5719,7.7182
1102,7.5507,7.7167
1103,6.8736,7.7092
1104,6.122,7.6878
1105,7.4596,7.6889
1106,8.6682,7.6941
1107,7.7707,7.7079
1108,7.8171,7.7007
1109,7.1534,7.6995
1110,8.1855,7.7241
1111,8.0221,7.7328
1112,8.6656,7.7452
1113,7.2778,7.7383
1114,7.6163,7.7324
1115,6.9433,7.7281
1116,7.969,7.728
1117,7.1084,7.714
1118,8.253,7.7154
1119,9.1237,7.7263
1120,8.1598,7.7305
1121,6.3618,7.7098
1122,6.3763,7.6978
1123,6.7223,7.6868
1124,8.8281,7.7001
1125,8.5985,7.7042
1126,7.9523,7.7072
1127,7.3944,7.7006
1128,8.1711,7.7179
1129,7.3411,7.7133
1130,7.7672,7.711
1131,7.2009,7.7143
1132,6.7015,7.7027
1133,7.8523,7.6946
1134,8.3219,7.7039
1135,7.575,7.7046
1136,7.7046,7.7032
1137,7.6177,7.6936
1138,7.741,7.6943
1139,7.0186,7.681
1140,8.347,7.68
1141,7.229,7.6778
1142,8.4473,7.679
1143,8.0521,7.6985
1144,7.5843,7.6926
1145,6.2884,7.6882
1146,7.191,7.6828
1147,8.515,7.6886
1148,7.2246,7.6763
1149,7.3478,7.668
1150,7.6785,7.6693
1151,5.6979,7.6504
1152,7.6553,7.6472
1153,7.8577,7.658
1154,6.1373,7.6399
